model,group,n,base_rate,selection_rate,TPR,FPR,FNR,PPV,TN,FP,FN,TP
Model without age,old,253.0,0.7272727272727273,0.7707509881422925,0.875,0.4927536231884058,0.125,0.8256410256410256,35,34,23,161
Model without age,young,47.0,0.5531914893617021,0.6595744680851063,0.7307692307692307,0.5714285714285714,0.2692307692307692,0.6129032258064516,9,12,7,19
