model,accuracy,selection_rate,DP_difference,EO_difference
Baseline with age,0.74,0.7533333333333333,0.11117652005718615,0.1387959866220736
Model without age,0.7466666666666667,0.7533333333333333,0.11117652005718615,0.14423076923076927
