group,base_rate_p,common_PPV,common_FNR,forced_FPR
old,0.7272727272727273,0.7920353982300885,0.14761904761904762,0.5968253968253968
young,0.5531914893617021,0.7920353982300885,0.14761904761904762,0.27709750566893426
