model,group,n,base_rate,selection_rate,TPR,FPR,FNR,PPV,TN,FP,FN,TP
Baseline with age,old,253.0,0.7272727272727273,0.7707509881422925,0.8695652173913043,0.5072463768115942,0.13043478260869565,0.8205128205128205,34,35,24,160
Baseline with age,young,47.0,0.5531914893617021,0.6595744680851063,0.7307692307692307,0.5714285714285714,0.2692307692307692,0.6129032258064516,9,12,7,19
