group,base_rate_p,observed_PPV,common_PPV_used,observed_FNR,observed_FPR,forced_FPR_under_common_PPV
old,0.7272727272727273,0.8205128205128205,0.7920353982300885,0.13043478260869565,0.5072463768115942,0.6088575823819934
young,0.5531914893617021,0.6129032258064516,0.7920353982300885,0.2692307692307692,0.5714285714285714,0.23756318169725996
