group,p_base_rate,PPV,FNR,observed_FPR,identity_RHS,absolute_error,TN,FP,FN,TP
old,0.7272727272727273,0.8205128205128205,0.13043478260869565,0.5072463768115942,0.5072463768115945,2.220446049250313e-16,34.0,35.0,24.0,160.0
young,0.5531914893617021,0.6129032258064516,0.2692307692307692,0.5714285714285714,0.5714285714285714,0.0,9.0,12.0,7.0,19.0
